"Test","Outcome","Classification","Message","GuardStack"
"Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.IsSimulatedDefaultsFalseAndMarksOnlyTheChosenCollider","Failed","missing Collider2D.IsSimulated contract","Assert.NotNull() Failure: Value is null","   at Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.GetMarkerProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\Collider2DSimulationInterestContractTests.cs:line 151"
"Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.MarkedActorRetainsNearbyTerrainOnlyWhileItsOwnGeometryIsNear","Failed","missing Collider2D.IsSimulated contract","Assert.NotNull() Failure: Value is null","   at Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.GetMarkerProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\Collider2DSimulationInterestContractTests.cs:line 151"
"Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.MarkedColliderContributesOnlyItsOwnActiveGeometryNotUiEnabledState","Failed","missing Collider2D.IsSimulated contract","Assert.NotNull() Failure: Value is null","   at Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.GetMarkerProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\Collider2DSimulationInterestContractTests.cs:line 151"
"Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.MarkerAndGeometryMutationsInvalidateExistingCollisionRevisionButIdleUpdatesDoNot","Failed","missing Collider2D.IsSimulated contract","Assert.NotNull() Failure: Value is null","   at Cerneala.Tests.Controls.Collider2DSimulationInterestContractTests.GetMarkerProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\Collider2DSimulationInterestContractTests.cs:line 151"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.AttachedSourceMutationAssignmentAndRefreshRejectOffOwnerCalls","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.EnumerationFailurePreservesCommittedTreeAndRefreshCanRetry","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.FailedPreflightPreservesOldColliderButDoesNotReportRequestedSourceReady","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.ItemsSourceAcceptsPlainAndObservableEnumerables","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.NullIsARealOccurrenceWithItsOwnNullCapableTemplate","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
"Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.NullWithoutNullCapableTemplateFailsWithoutNullDereference","Failed","missing IEnumerable ItemsSource contract","Assert.Equal() Failure: Values differ | Expected: typeof(System.Collections.IEnumerable) | Actual:   typeof(Cerneala.UI.Controls.ISceneSpatialSource2D<object>)","   at Cerneala.Tests.Controls.SceneItems2DSimpleCollectionContractTests.GetEnumerableItemsSourceProperty() in C:\Users\lauri\Desktop\Cerneala\tests\Cerneala.Tests\Controls\SceneItems2DSimpleCollectionContractTests.cs:line 616"
