"Name","Outcome","Classification","FirstErrorLine"
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_AttachedMapRejectsDisposeWithoutConsumingItsTerminal","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_CreateTileMapOwnsIndependentInstancesAndMapDisposeIsTerminal","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_DirectValuesAndCompleteMapModelRemainCallerOwned","Failed","Existing lease return; selected direct value absent","Assert.Equal() Failure: Values differ"
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_DisposeAsyncReportsReaderCleanupFailureOnRepeatedAwait","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_DisposeRejectsNewReadsAndDisposeAsyncDrainsAdmittedReadOnce","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_FailedOpenPreservesPrimaryAndReaderCleanupErrors","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_FailedOpenTransfersReaderOwnershipAndAwaitsCleanup","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_LoadMapModelPreservesOrderedFreePlacementsAcrossPackageGroups","Failed","Absent selected complete map-model loader","Missing selected Scene2DPackageLevel.LoadMapModelAsync API."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_LoadMapModelReassemblesSubdividedAuthoredGridAndEmptyCells","Failed","Absent selected complete map-model loader","Missing selected Scene2DPackageLevel.LoadMapModelAsync API."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_MapDisposeAsyncWaitsOldGenerationAfterDetachAndReattach","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_PreCutoverCpv2BytesRemainReadableWithoutWireChange","Failed","Existing lease return; selected direct value absent","Assert.Equal() Failure: Values differ"
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderCancellationIsPerCallAndRetryIsNewRead","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderChecksCatalogAndPayloadHashes","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderHandlesShortConcurrentReadsAndDirectValues","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderRejectsPayloadLengthThatDisagreesWithCatalog","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderRejectsZeroAndOutOfRangeReadCounts(mode: -1)","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderRejectsZeroAndOutOfRangeReadCounts(mode: 0)","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPackageTests.Stage0_RangeReaderRejectsZeroAndOutOfRangeReadCounts(mode: 1)","Failed","Absent selected public CPV2 range reader","Missing selected public IScene2DPackageRangeReader contract."
"Cerneala.Tests.Scene2DPackages.Scene2DPublicBoundaryContractTests.Stage0_Cpv2RangeReaderHasTheSelectedNonspatialTransportShape","Failed","Selected CPV2 reader/part absent","Assert.NotNull() Failure: Value is null"
"Cerneala.Tests.Scene2DPackages.Scene2DPublicBoundaryContractTests.Stage0_MapAndPackageExposeIdsAndValuesInsteadOfSourcesAndLeases","Failed","Selected TileMapIds absent","Assert.Equal() Failure: Values differ"
"Cerneala.Tests.Scene2DPackages.Scene2DPublicBoundaryContractTests.Stage0_PublicSpatialSourceAndResidencyFamilyIsGone","Failed","Existing public spatial family still exported","SceneSpatialEntry2D is still exported by the core assembly."
"Cerneala.Tests.Scene2DPackages.Scene2DPublicBoundaryContractTests.Stage0_SceneItemsDropsSpatialPreparationAndIdMembers","Failed","Existing public SceneItems spatial members retained","Assert.DoesNotContain() Failure: Filter matched in collection"
