"File","Total","Passed","Failed","Skipped","Executed","TrxCounterNotExecuted","ResultRows","Outcome"
"seam-final-full_net10.0_20260925071826.trx","40","40","0","0","40","0","40","Completed"
"seam-final-full_net10.0_20260925071905.trx","14","13","1","0","14","0","14","Failed"
"seam-final-full_net10.0_20260925072828.trx","47","47","0","0","47","0","47","Completed"
"seam-final-full_net8.0_20260925071631.trx","235","234","0","1","234","0","235","Completed"
"seam-final-full_net8.0_20260925071911.trx","173","173","0","0","173","0","173","Completed"
"seam-final-full_net8.0_20260925071918.trx","104","104","0","0","104","0","104","Completed"
"seam-final-full_net8.0_20260925071946.trx","17","17","0","0","17","0","17","Completed"
"seam-final-full_net8.0_20260925072715.trx","940","935","0","5","935","0","940","Completed"
"seam-final-full_net8.0_20260925072820.trx","611","611","0","0","611","0","611","Completed"
"seam-final-full_net8.0_20260925073124.trx","4163","4163","0","0","4163","0","4163","Completed"
"seam-final-full_net8.0_20260925073127.trx","31","31","0","0","31","0","31","Completed"
