"File","Total","Passed","Failed","Skipped","ResultRows","Outcome"
"seam-final-full-02_net10.0_20260925103202.trx","40","40","0","0","40","Completed"
"seam-final-full-02_net10.0_20260925103258.trx","17","17","0","0","17","Completed"
"seam-final-full-02_net10.0_20260925104443.trx","47","47","0","0","47","Completed"
"seam-final-full-02_net8.0_20260925102925.trx","235","234","0","1","235","Completed"
"seam-final-full-02_net8.0_20260925103306.trx","173","173","0","0","173","Completed"
"seam-final-full-02_net8.0_20260925103315.trx","104","104","0","0","104","Completed"
"seam-final-full-02_net8.0_20260925103355.trx","17","17","0","0","17","Completed"
"seam-final-full-02_net8.0_20260925104308.trx","940","935","0","5","940","Completed"
"seam-final-full-02_net8.0_20260925104430.trx","611","611","0","0","611","Completed"
"seam-final-full-02_net8.0_20260925104834.trx","4163","4163","0","0","4163","Completed"
"seam-final-full-02_net8.0_20260925104838.trx","31","31","0","0","31","Completed"
