"File","Total","Passed","Failed","Skipped","Other"
"village-final_net10.0_20260924203416.trx","40","40","0","0","0"
"village-final_net10.0_20260924203613.trx","14","14","0","0","0"
"village-final_net10.0_20260924210022.trx","47","47","0","0","0"
"village-final_net8.0_20260924202835.trx","235","234","0","1","0"
"village-final_net8.0_20260924203629.trx","173","173","0","0","0"
"village-final_net8.0_20260924203641.trx","104","104","0","0","0"
"village-final_net8.0_20260924203735.trx","15","15","0","0","0"
"village-final_net8.0_20260924205635.trx","899","894","0","5","0"
"village-final_net8.0_20260924205937.trx","610","610","0","0","0"
"village-final_net8.0_20260924210804.trx","4156","4156","0","0","0"
"village-final_net8.0_20260924210810.trx","31","31","0","0","0"
