"File","Total","Passed","Failed","Skipped"
"village-full_net10.0_20260924183453.trx","40","40","0","0"
"village-full_net10.0_20260924183634.trx","14","14","0","0"
"village-full_net10.0_20260924190055.trx","47","47","0","0"
"village-full_net8.0_20260924183042.trx","235","234","0","1"
"village-full_net8.0_20260924183647.trx","173","173","0","0"
"village-full_net8.0_20260924183701.trx","104","104","0","0"
"village-full_net8.0_20260924183816.trx","13","13","0","0"
"village-full_net8.0_20260924185723.trx","899","894","0","5"
"village-full_net8.0_20260924185952.trx","610","610","0","0"
"village-full_net8.0_20260924190802.trx","4156","4156","0","0"
"village-full_net8.0_20260924190813.trx","31","31","0","0"
