"File","Total","Passed","Failed","Skipped"
"surface-scale-full-01_net10.0_20260925233548.trx","40","40","0","0"
"surface-scale-full-01_net10.0_20260925233654.trx","17","17","0","0"
"surface-scale-full-01_net10.0_20260925235029.trx","47","47","0","0"
"surface-scale-full-01_net8.0_20260925233310.trx","235","234","0","1"
"surface-scale-full-01_net8.0_20260925233704.trx","173","173","0","0"
"surface-scale-full-01_net8.0_20260925233716.trx","104","104","0","0"
"surface-scale-full-01_net8.0_20260925233837.trx","36","36","0","0"
"surface-scale-full-01_net8.0_20260925234822.trx","940","935","0","5"
"surface-scale-full-01_net8.0_20260925234949.trx","611","611","0","0"
"surface-scale-full-01_net8.0_20260925235441.trx","4163","4163","0","0"
"surface-scale-full-01_net8.0_20260925235446.trx","31","31","0","0"
