"File","Total","Passed","Failed","Skipped","ResultRows","Outcome"
"character-final-full-01_net10.0_20260925200020.trx","40","40","0","0","40","Completed"
"character-final-full-01_net10.0_20260925200131.trx","17","17","0","0","17","Completed"
"character-final-full-01_net10.0_20260925201702.trx","47","47","0","0","47","Completed"
"character-final-full-01_net8.0_20260925195635.trx","235","234","0","1","235","Completed"
"character-final-full-01_net8.0_20260925200143.trx","173","173","0","0","173","Completed"
"character-final-full-01_net8.0_20260925200156.trx","104","104","0","0","104","Completed"
"character-final-full-01_net8.0_20260925200307.trx","21","21","0","0","21","Completed"
"character-final-full-01_net8.0_20260925201507.trx","940","935","0","5","940","Completed"
"character-final-full-01_net8.0_20260925201644.trx","611","611","0","0","611","Completed"
"character-final-full-01_net8.0_20260925202220.trx","4163","4163","0","0","4163","Completed"
"character-final-full-01_net8.0_20260925202224.trx","31","31","0","0","31","Completed"
