"File","Total","Passed","Failed","Skipped","ResultRows","Outcome"
"decoration-final-full-01_net10.0_20260925134416.trx","40","40","0","0","40","Completed"
"decoration-final-full-01_net10.0_20260925134531.trx","17","17","0","0","17","Completed"
"decoration-final-full-01_net10.0_20260925140711.trx","47","47","0","0","47","Completed"
"decoration-final-full-01_net8.0_20260925134106.trx","235","234","0","1","235","Completed"
"decoration-final-full-01_net8.0_20260925134543.trx","173","173","0","0","173","Completed"
"decoration-final-full-01_net8.0_20260925134554.trx","104","104","0","0","104","Completed"
"decoration-final-full-01_net8.0_20260925134648.trx","18","18","0","0","18","Completed"
"decoration-final-full-01_net8.0_20260925140418.trx","940","935","0","5","940","Completed"
"decoration-final-full-01_net8.0_20260925140646.trx","611","611","0","0","611","Completed"
"decoration-final-full-01_net8.0_20260925141419.trx","4163","4163","0","0","4163","Completed"
"decoration-final-full-01_net8.0_20260925141427.trx","31","31","0","0","31","Completed"
